Date,Open,High,Low,Close,Volume,Adj Close
2002-08-22,26.200001,27.23,25.700001,26.969999,761600,6.477812
2002-08-21,24.530001,26.02,24.530001,26.02,1012000,6.249635
2002-08-20,24.35,24.60,23.90,24.50,592800,5.884553
2002-08-19,23.50,24.389999,23.450001,24.33,829200,5.843721
2002-08-16,23.60,24.40,22.75,24.24,1844400,5.822104
2002-08-15,23.76,23.799999,22.629999,23.59,823200,5.665984
2002-08-14,22.85,23.76,22.00,23.76,752000,5.706815
2002-08-13,22.57,23.74,22.40,22.76,1009200,5.466629
2002-08-12,22.25,22.799999,21.83,22.60,1191200,5.4282
2002-08-09,23.65,23.879999,23.219999,23.690001,542800,5.690002
2002-08-08,22.25,23.85,22.18,23.85,684400,5.728432
2002-08-07,22.200001,22.67,22.139999,22.559999,518800,5.418592
2002-08-06,21.700001,22.620001,21.700001,22.049999,725600,5.296097
2002-08-05,22.15,22.50,21.389999,21.51,1072800,5.166397
2002-08-02,23.40,23.43,21.469999,22.200001,1026400,5.332126
2002-08-01,23.50,23.93,23.190001,23.299999,512400,5.59633
2002-07-31,23.620001,24.25,23.10,23.50,768000,5.644367
2002-07-30,23.959999,24.950001,23.459999,23.620001,1126400,5.673189
2002-07-29,22.15,24.049999,22.139999,23.959999,855200,5.754852
2002-07-26,21.50,22.209999,21.25,22.00,610000,5.284088
2002-07-25,21.26,21.57,20.50,21.40,1046800,5.139977
2002-07-24,20.610001,21.48,20.00,21.24,1528000,5.101547
2002-07-23,20.129999,20.76,20.10,20.610001,1812400,4.95023
2002-07-22,19.90,20.32,19.50,19.65,792000,4.719651
2002-07-19,21.25,21.25,20.01,20.40,621200,4.899791
2002-07-18,21.65,21.77,20.90,21.15,606000,5.07993
2002-07-17,22.00,22.530001,20.940001,21.620001,660000,5.192818
2002-07-16,21.950001,22.530001,21.450001,21.65,527200,5.200023
2002-07-15,22.00,22.030001,20.85,21.950001,498400,5.272079
2002-07-12,22.200001,22.48,21.799999,21.959999,297600,5.274481
2002-07-11,22.50,22.50,21.60,22.10,540400,5.308107
2002-07-10,23.49,23.940001,22.48,22.60,543200,5.4282
2002-07-09,24.049999,24.370001,23.389999,23.49,379200,5.641965
2002-07-08,24.33,24.75,23.85,23.93,556400,5.747647
2002-07-05,23.85,24.49,23.85,24.33,346800,5.843721
2002-07-03,23.450001,23.809999,22.879999,23.57,1372000,5.66118
2002-07-02,24.559999,24.66,22.85,23.41,1254400,5.62275
2002-07-01,26.110001,26.15,24.51,24.60,604400,5.908571
2002-06-28,25.35,26.530001,25.139999,26.10,1033600,6.26885
2002-06-27,25.10,25.60,24.76,25.549999,742800,6.136748
2002-06-26,25.450001,25.450001,24.75,25.040001,1276800,6.014253
2002-06-25,26.139999,26.42,25.33,25.530001,550400,6.131944
2002-06-24,26.200001,26.25,25.379999,26.049999,871200,6.256841
2002-06-21,26.15,26.719999,26.09,26.23,856400,6.300074
2002-06-20,25.799999,26.440001,25.59,26.139999,562400,6.278457
2002-06-19,26.60,26.629999,25.67,25.799999,522800,6.196794
2002-06-18,26.50,27.09,26.35,26.690001,611200,6.41056
2002-06-17,25.50,26.549999,25.50,26.50,612000,6.364924
2002-06-14,26.030001,26.030001,25.00,25.50,711600,6.124739
2002-06-13,26.969999,27.549999,25.950001,26.08,708800,6.264046
2002-06-12,26.709999,27.07,26.15,26.969999,824400,6.477812
2002-06-11,27.16,27.74,26.629999,26.709999,580400,6.415363
2002-06-10,26.10,27.16,26.10,27.120001,586400,6.51384
2002-06-07,26.299999,26.41,25.85,26.10,893200,6.26885
2002-06-06,26.34,26.450001,26.10,26.360001,702400,6.331299
2002-06-05,25.90,26.370001,25.860001,26.25,1015600,6.304878
2002-06-04,27.00,27.01,25.389999,26.209999,742800,6.29527
2002-06-03,27.799999,27.799999,27.02,27.02,724400,6.489821
2002-05-31,27.700001,28.299999,27.65,27.85,552000,6.689175
2002-05-30,27.92,27.98,27.440001,27.700001,535600,6.653148
2002-05-29,28.299999,28.40,28.110001,28.17,516000,6.766035
2002-05-28,28.32,28.50,28.00,28.299999,395200,6.797259
2002-05-24,28.370001,29.00,28.23,28.299999,402000,6.797259
2002-05-23,28.24,28.50,27.75,28.370001,459200,6.814072
2002-05-22,28.299999,28.469999,28.129999,28.23,421600,6.780446
2002-05-21,28.90,29.00,28.17,28.27,761600,6.790053
2002-05-20,28.379999,28.809999,28.299999,28.52,669600,6.8501
