"Date","Number of unemployed"
2000-02-15,2368
2000-03-15,2522
2000-04-15,2032
2000-05-15,2061
2000-06-15,1831
2000-07-15,1622
2000-08-15,1639
2000-09-15,1239
2000-10-15,1301
2000-11-15,1474
2000-12-15,1854
2001-01-15,2171
2001-02-15,2124
2001-03-15,2009
2001-04-15,2255
2001-05-15,2252
2001-06-15,1823
2001-07-15,1706
2001-08-15,1605
2001-09-15,1523
2001-10-15,1766
2001-11-15,2167
2001-12-15,2705
2002-01-15,3306
2002-02-15,3557
2002-03-15,3694
2002-04-15,3687
2002-05-15,3562
2002-06-15,3557
2002-07-15,3532
2002-08-15,3403
2002-09-15,3175
2002-10-15,3526
2002-11-15,4078
2002-12-15,4481
2003-01-15,5208
2003-02-15,5757
2003-03-15,5643
2003-04-15,5508
2003-05-15,5295
2003-06-15,5080
2003-07-15,4670
2003-08-15,4452
2003-09-15,3903
2003-10-15,4060
2003-11-15,4397
2003-12-15,4729
2004-01-15,5090
2004-02-15,5096
2004-03-15,4995
2004-04-15,4904
2004-05-15,4898
2004-06-15,4878
2004-07-15,4714
2004-08-15,4452
2004-09-15,3889
2004-10-15,3880
2004-11-15,3883
2004-12-15,4089
2005-01-15,4353
2005-02-15,4156
2005-03-15,3799
2005-04-15,3542
2005-05-15,3331
2005-06-15,3243
2005-07-15,3134
2005-08-15,2853
2005-09-15,2267
2005-10-15,2192
2005-11-15,2247
2005-12-15,2316
2006-01-15,2442
2006-02-15,2337
2006-03-15,2185
2006-04-15,2112
2006-05-15,2064
2006-06-15,2030
2006-07-15,2184
2006-08-15,1947
2006-09-15,1628
2006-10-15,1645
2006-11-15,1749
2006-12-15,1879
2007-01-15,1977
2007-02-15,2037
2007-03-15,1934
2007-04-15,1866
2007-05-15,1759
2007-06-15,1631
2007-07-15,1578
2007-08-15,1476
2007-09-15,1336
2007-10-15,1315
2007-11-15,1321
2007-12-15,1357
2008-01-15,1545
2008-02-15,1631
2008-03-15,1674
2008-04-15,1717
2008-05-15,1739
2008-06-15,1842
2008-07-15,1968
2008-08-15,2136
2008-09-15,2229
2008-10-15,3106
2008-11-15,5445
2008-12-15,7902
2009-01-15,10456
2009-02-15,13276
2009-03-15,14545
2009-04-15,14814
2009-05-15,14595
2009-06-15,14091
2009-07-15,13756
2009-08-15,13386
2009-09-15,12145
2009-10-15,12682
2009-11-15,13357
2009-12-15,13776
2010-01-15,14705
2010-02-15,15026
2010-03-15,15060
2010-04-15,14669
2010-05-15,13875
2010-06-15,12988
2010-07-15,12569
2010-08-15,12096
2010-09-15,11547
2010-10-15,12062
2010-11-15,12363
2010-12-15,12745
2011-01-15,13458
2011-02-15,13772
2011-03-15,13757
2011-04-15,13262
2011-05-15,12553
2011-06-15,11704
2011-07-15,11423
2011-08-15,11294
2011-09-15,10759
2011-10-15,10918
2011-11-15,11348
2011-12-15,11760
2012-01-15,11452
2012-02-15,11620
2012-03-15,11457
2012-04-15,10837
2012-05-15,9826
2012-06-15,8704
2012-07-15,8372
2012-08-15,8200
2012-09-15,7882
2012-10-15,8187
2012-11-15,8562
2012-12-15,8958
2013-01-15,8686
2013-02-15,8715
2013-03-15,8487
2013-04-15,7998
2013-05-15,7515
2013-06-15,6935
2013-07-15,6874
2013-08-15,6719
2013-09-15,6125
2013-10-15,6233
2013-11-15,6525
2013-12-15,6829
2014-01-15,7190
2014-02-15,7213
2014-03-15,7106
2014-04-15,6801
2014-05-15,6293
2014-06-15,5717
