Date,Open,High,Low,Close,Volume,Adj Close
2002-12-31,1.78,1.81,1.62,1.75,64100,1.75
2002-12-30,1.77,1.77,1.71,1.77,1900,1.77
2002-12-27,1.77,1.87,1.77,1.87,2600,1.87
2002-12-26,1.85,1.85,1.85,1.85,000,1.85
2002-12-24,1.80,1.85,1.74,1.85,6400,1.85
2002-12-23,1.99,1.99,1.71,1.71,10000,1.71
2002-12-20,1.99,1.99,1.99,1.99,300,1.99
2002-12-19,1.99,1.99,1.99,1.99,100,1.99
2002-12-18,2.06,2.20,2.00,2.00,3900,2.00
2002-12-17,2.16,2.16,1.90,2.03,1300,2.03
2002-12-16,2.11,2.11,1.85,2.00,14400,2.00
2002-12-13,2.00,2.00,2.00,2.00,000,2.00
2002-12-12,1.80,2.00,1.80,2.00,8900,2.00
2002-12-11,1.86,1.90,1.86,1.90,5100,1.90
2002-12-10,1.83,2.25,1.81,2.20,7500,2.20
2002-12-09,1.39,2.54,1.39,1.60,23000,1.60
2002-12-06,1.30,1.30,1.30,1.30,000,1.30
2002-12-05,1.40,1.40,1.30,1.30,12100,1.30
2002-12-04,1.59,1.64,1.45,1.45,3300,1.45
2002-12-03,1.41,1.41,1.41,1.41,000,1.41
2002-12-02,1.41,1.41,1.40,1.41,5700,1.41
2002-11-29,1.50,1.50,1.40,1.40,2000,1.40
2002-11-27,1.25,1.64,1.25,1.30,9600,1.30
2002-11-26,1.26,1.26,1.26,1.26,000,1.26
2002-11-25,1.25,1.26,1.25,1.26,7100,1.26
2002-11-22,1.29,1.29,1.28,1.28,5300,1.28
2002-11-21,1.25,1.30,1.22,1.29,15700,1.29
2002-11-20,1.25,1.31,1.25,1.28,6000,1.28
2002-11-19,1.40,1.40,1.25,1.29,5500,1.29
2002-11-18,1.59,1.59,1.59,1.59,000,1.59
2002-11-15,1.59,1.59,1.59,1.59,500,1.59
2002-11-14,1.58,1.65,1.40,1.40,2000,1.40
2002-11-13,1.40,1.40,1.40,1.40,000,1.40
2002-11-12,1.26,1.51,1.26,1.40,2000,1.40
2002-11-11,1.50,1.50,1.01,1.10,3200,1.10
2002-11-08,1.50,1.50,1.50,1.50,000,1.50
2002-11-07,1.50,1.50,1.50,1.50,200,1.50
2002-11-06,1.54,1.54,1.54,1.54,000,1.54
2002-11-05,1.55,1.72,1.54,1.54,7500,1.54
2002-11-04,1.70,1.70,1.70,1.70,1700,1.70
2002-11-01,1.60,1.60,1.60,1.60,000,1.60
2002-10-31,1.60,1.60,1.60,1.60,1000,1.60
2002-10-30,1.45,1.60,1.40,1.60,16700,1.60
2002-10-29,1.35,1.41,1.35,1.40,1700,1.40
2002-10-28,1.30,1.50,1.16,1.50,8100,1.50
2002-10-25,1.32,1.32,1.27,1.30,1100,1.30
2002-10-24,1.45,1.45,1.34,1.34,15100,1.34
2002-10-23,0.89,1.44,0.89,1.30,92900,1.30
2002-10-22,0.60,0.60,0.60,0.60,3100,0.60
2002-10-21,0.61,0.61,0.61,0.61,000,0.61
2002-10-18,0.61,0.61,0.61,0.61,000,0.61
2002-10-17,0.61,0.61,0.61,0.61,000,0.61
2002-10-16,0.61,0.62,0.61,0.61,6800,0.61
2002-10-15,0.65,0.65,0.65,0.65,100,0.65
2002-10-14,0.61,0.61,0.53,0.53,1300,0.53
2002-10-11,0.55,0.55,0.55,0.55,800,0.55
2002-10-10,0.55,0.55,0.55,0.55,000,0.55
2002-10-09,0.55,0.55,0.55,0.55,2500,0.55
2002-10-08,0.60,0.60,0.56,0.56,7500,0.56
2002-10-07,0.61,0.61,0.56,0.56,1600,0.56
