time,ipmc
1996-01-01,42.2
1996-02-01,43.1
1996-03-01,42.2
1996-04-01,42.3
1996-05-01,43.8
1996-06-01,42.5
1996-07-01,43.7
1996-08-01,42.6
1996-09-01,42.0
1996-10-01,41.2
1996-11-01,41.6
1996-12-01,40.3
1997-01-01,40.9
1997-02-01,40.8
1997-03-01,40.1
1997-04-01,40.6
1997-05-01,40.4
1997-06-01,39.4
1997-07-01,39.0
1997-08-01,39.2
1997-09-01,39.7
1997-10-01,40.2
1997-11-01,40.3
1997-12-01,38.6
1998-01-01,39.8
1998-02-01,37.5
1998-03-01,39.8
1998-04-01,39.2
1998-05-01,37.4
1998-06-01,36.7
1998-07-01,36.1
1998-08-01,37.6
1998-09-01,37.2
1998-10-01,36.2
1998-11-01,36.7
1998-12-01,36.4
1999-01-01,36.1
1999-02-01,36.0
1999-03-01,37.3
1999-04-01,34.4
1999-05-01,35.8
1999-06-01,34.4
1999-07-01,32.0
1999-08-01,30.4
1999-09-01,30.6
1999-10-01,32.4
1999-11-01,31.1
1999-12-01,31.2
2000-01-01,31.5
2000-02-01,29.4
2000-03-01,31.7
2000-04-01,32.7
2000-05-01,32.8
2000-06-01,33.2
2000-07-01,34.0
2000-08-01,35.8
2000-09-01,34.1
2000-10-01,35.8
2000-11-01,37.7
2000-12-01,36.9
2001-01-01,36.0
2001-02-01,34.2
2001-03-01,36.4
2001-04-01,42.8
2001-05-01,44.2
2001-06-01,44.8
2001-07-01,47.1
2001-08-01,46.3
2001-09-01,43.8
2001-10-01,45.3
2001-11-01,44.9
2001-12-01,43.0
2002-01-01,44.1
2002-02-01,44.2
2002-03-01,41.3
2002-04-01,43.5
2002-05-01,41.9
2002-06-01,40.9
2002-07-01,40.0
2002-08-01,38.6
2002-09-01,37.4
2002-10-01,37.0
2002-11-01,38.2
2002-12-01,37.4
2003-01-01,39.5
2003-02-01,37.9
2003-03-01,44.1
2003-04-01,40.7
2003-05-01,37.8
2003-06-01,37.1
2003-07-01,38.0
2003-08-01,43.0
2003-09-01,37.2
2003-10-01,44.3
2003-11-01,42.6
2003-12-01,42.2
2004-01-01,45.9
2004-02-01,40.8
2004-03-01,49.2
2004-04-01,45.9
2004-05-01,48.3
2004-06-01,58.7
2004-07-01,47.7
2004-08-01,55.1
2004-09-01,49.5
2004-10-01,52.6
2004-11-01,62.6
2004-12-01,55.5
2005-01-01,55.2
2005-02-01,53.5
2005-03-01,53.8
2005-04-01,53.4
2005-05-01,53.8
2005-06-01,60.9
2005-07-01,69.0
2005-08-01,68.9
2005-09-01,66.1
2005-10-01,61.6
2005-11-01,63.5
2005-12-01,68.6
2006-01-01,68.7
2006-02-01,69.0
2006-03-01,64.9
2006-04-01,70.9
2006-05-01,61.4
2006-06-01,64.1
2006-07-01,58.1
2006-08-01,62.3
2006-09-01,60.1
2006-10-01,65.1
2006-11-01,63.0
2006-12-01,61.7
2007-01-01,58.0
2007-02-01,59.1
2007-03-01,59.1
2007-04-01,66.7
2007-05-01,63.7
2007-06-01,57.2
2007-07-01,67.4
2007-08-01,65.5
2007-09-01,69.4
2007-10-01,63.2
2007-11-01,65.9
2007-12-01,66.1
2008-01-01,82.3
2008-02-01,83.1
2008-03-01,87.5
2008-04-01,82.7
2008-05-01,98.4
2008-06-01,98.0
2008-07-01,114.5
2008-08-01,129.4
2008-09-01,131.1
2008-10-01,132.0
2008-11-01,144.8
2008-12-01,141.3
2009-01-01,145.7
2009-02-01,139.9
2009-03-01,137.9
2009-04-01,133.0
2009-05-01,108.4
2009-06-01,107.5
2009-07-01,90.1
2009-08-01,91.1
2009-09-01,82.2
2009-10-01,79.1
2009-11-01,87.7
2009-12-01,84.1
2010-01-01,90.2
2010-02-01,92.4
