Second,Rate
0,60.4839
500,60.4839
1000,60.4606
1500,60.3391
2000,60.0762
2500,59.2526
3000,58.6644
3500,59.1295
4000,59.6737
4500,60.776
5000,61.5625
5500,60.6983
6000,60.7558
6500,64.6925
7000,69.0724
7500,71.9005
8000,72.0397
8500,69.9949
9000,67.3286
9500,65.0251
10000,64.196
10500,62.906
11000,61.0068
11500,59.2666
12000,57.7952
12500,56.9915
13000,57.7653
13500,58.2358
14000,57.462
14500,56.8552
15000,57.5159
15500,58.1395
16000,59.7941
16500,61.4044
17000,59.9769
17500,58.5938
18000,58.4807
18500,58.3667
19000,59.4716
19500,60.6531
20000,59.8142
20500,58.8616
21000,58.3032
21500,57.7376
22000,59.0713
22500,60.7129
23000,59.9371
23500,58.7462
24000,58.88
24500,59.2274
25000,60.9969
25500,63.1322
26000,62.1569
26500,60.6192
27000,59.9292
27500,59.3316
28000,60.5066
28500,61.8541
29000,61.0235
29500,60.0317
30000,59.5427
30500,59.0702
31000,60.1878
31500,61.398
32000,60.8681
32500,60.2508
33000,59.8853
33500,59.5267
34000,61.4931
34500,63.4416
35000,62.7021
35500,61.8881
36000,61.2607
36500,61.0743
37000,63.0375
37500,64.1869
38000,62.7235
38500,61.3585
39000,60.3748
39500,60.123
40000,61.1067
40500,61.4131
41000,60.6693
41500,59.8359
42000,58.8983
42500,58.4954
43000,58.84
43500,58.7827
44000,57.9908
44500,57.4153
45000,57.1968
45500,57.2415
46000,58.6048
46500,59.761
47000,59.761
47500,59.713
48000,59.36
48500,59.1294
49000,59.8438
49500,60.5134
50000,60.7592
50500,60.6761
51000,58.7054
51500,57.0087
52000,56.4766
52500,55.9701
53000,57.9006
53500,60.036
54000,59.5946
54500,58.8859
55000,58.2339
55500,57.5578
56000,58.2759
56500,59.3021
57000,58.2397
57500,56.5677
58000,56.0478
58500,55.8389
59000,56.3327
59500,57.5214
60000,57.7319
60500,56.752
61000,56.2391
61500,56.4511
62000,56.8755
62500,58.5736
63000,59.7802
63500,58.4061
64000,57.3096
64500,58.2112
65000,59.0858
65500,60.0461
66000,60.8849
66500,59.4668
67000,58.1395
67500,57.3717
68000,56.6038
68500,58.0981
69000,59.7962
69500,57.0875
