seconds,mV
10.000,-0.325
10.003,-0.346
10.006,-0.342
10.008,-0.332
10.011,-0.312
10.014,-0.278
10.017,-0.281
10.019,-0.305
10.022,-0.325
10.025,-0.312
10.028,-0.295
10.031,-0.278
10.033,-0.278
10.036,-0.285
10.039,-0.285
10.042,-0.278
10.044,-0.258
10.047,-0.247
10.050,-0.251
10.053,-0.268
10.056,-0.288
10.058,-0.261
10.061,-0.227
10.064,-0.217
10.067,-0.217
10.069,-0.234
10.072,-0.288
10.075,-0.315
10.078,-0.298
10.081,-0.244
10.083,-0.224
10.086,-0.244
10.089,-0.264
10.092,-0.261
10.094,-0.220
10.097,-0.169
10.100,-0.139
10.103,-0.139
10.106,-0.180
10.108,-0.217
10.111,-0.220
10.114,-0.197
10.117,-0.173
10.119,-0.149
10.122,-0.159
10.125,-0.176
10.128,-0.176
10.131,-0.149
10.133,-0.115
10.136,-0.088
10.139,-0.081
10.142,-0.075
10.144,-0.054
10.147,-0.041
10.150,-0.020
10.153,0.007
10.156,0.024
10.158,0.047
10.161,0.081
10.164,0.129
10.167,0.166
10.169,0.169
10.172,0.176
10.175,0.203
10.178,0.244
10.181,0.251
10.183,0.275
10.186,0.332
10.189,0.346
10.192,0.349
10.194,0.380
10.197,0.417
10.200,0.444
10.203,0.464
10.206,0.478
10.208,0.468
10.211,0.485
10.214,0.519
10.217,0.546
10.219,0.559
10.222,0.542
10.225,0.508
10.228,0.515
10.231,0.539
10.233,0.549
10.236,0.559
10.239,0.556
10.242,0.553
10.244,0.549
10.247,0.546
10.250,0.505
10.253,0.471
10.256,0.447
10.258,0.424
10.261,0.407
10.264,0.380
10.267,0.373
10.269,0.369
10.272,0.346
10.275,0.302
10.278,0.251
10.281,0.190
10.283,0.153
10.286,0.142
10.289,0.119
10.292,0.075
10.294,0.034
10.297,0.003
10.300,-0.024
10.303,-0.044
10.306,-0.064
10.308,-0.092
10.311,-0.119
10.314,-0.136
10.317,-0.142
10.319,-0.149
10.322,-0.166
10.325,-0.173
10.328,-0.169
10.331,-0.180
10.333,-0.207
10.336,-0.227
10.339,-0.237
10.342,-0.241
10.344,-0.251
10.347,-0.268
10.350,-0.275
10.353,-0.278
10.356,-0.292
10.358,-0.302
10.361,-0.288
10.364,-0.278
10.367,-0.278
10.369,-0.302
10.372,-0.325
10.375,-0.319
10.378,-0.315
10.381,-0.302
10.383,-0.281
10.386,-0.275
10.389,-0.298
10.392,-0.302
10.394,-0.292
10.397,-0.275
10.400,-0.268
10.403,-0.275
10.406,-0.295
10.408,-0.308
10.411,-0.308
10.414,-0.292
10.417,-0.264
10.419,-0.254
10.422,-0.261
10.425,-0.268
10.428,-0.278
10.431,-0.288
10.433,-0.295
10.436,-0.292
10.439,-0.268
10.442,-0.258
10.444,-0.244
