Date,"Mean daily temperature Saugeen River near Port Elgin"
1988-01-01,-6.5
1988-01-02,-5.75
1988-01-03,-3.5
1988-01-04,-8
1988-01-05,-12.5
1988-01-06,-13.25
1988-01-07,-13.25
1988-01-08,-15
1988-01-09,-9
1988-01-10,-11
1988-01-11,-6.25
1988-01-12,-0.75
1988-01-13,-14.25
1988-01-14,-14.5
1988-01-15,-8
1988-01-16,0.75
1988-01-17,2.5
1988-01-18,0.75
1988-01-19,-2.25
1988-01-20,3
1988-01-21,-11.25
1988-01-22,-12.75
1988-01-23,-3
1988-01-24,-1.5
1988-01-25,-5
1988-01-26,-13.25
1988-01-27,-11.75
1988-01-28,-9.75
1988-01-29,-3.5
1988-01-30,5.25
1988-01-31,8.25
1988-02-01,-2.5
1988-02-02,-10.75
1988-02-03,-11.75
1988-02-04,-11.25
1988-02-05,-12.5
1988-02-06,-13.25
1988-02-07,-11
1988-02-08,-11.75
1988-02-09,-11.25
1988-02-10,-14.5
1988-02-11,-10
1988-02-12,-6.5
1988-02-13,-8.75
1988-02-14,-6.5
1988-02-15,-1.75
1988-02-16,-11
1988-02-17,-2.25
1988-02-18,-3.75
1988-02-19,-3.5
1988-02-20,-6.25
1988-02-21,-10
1988-02-22,-2
1988-02-23,-6
1988-02-24,-7
1988-02-25,-7.5
1988-02-26,-8
1988-02-27,-6.75
1988-02-28,-10.25
1988-02-29,-7.5
1988-03-01,-11
1988-03-02,-3.5
1988-03-03,-11.5
1988-03-04,-13
1988-03-05,-8
1988-03-06,-0.5
1988-03-07,0
1988-03-08,0.25
1988-03-09,2.25
1988-03-10,-1.25
1988-03-11,-2
1988-03-12,-1
1988-03-13,-2
1988-03-14,-9.75
1988-03-15,-8.75
1988-03-16,-2.25
1988-03-17,-7.5
1988-03-18,-2.75
1988-03-19,-7.25
1988-03-20,-10.75
1988-03-21,-15.5
1988-03-22,-9.75
1988-03-23,4.5
1988-03-24,2.25
1988-03-25,6.75
1988-03-26,7.25
1988-03-27,-1.75
1988-03-28,1
1988-03-29,9.5
1988-03-30,3.25
1988-03-31,2.25
1988-04-01,4.5
1988-04-02,5.75
1988-04-03,13
1988-04-04,6.5
1988-04-05,12.5
1988-04-06,11.5
1988-04-07,3.75
1988-04-08,3
1988-04-09,2.25
1988-04-10,4.25
1988-04-11,4.5
1988-04-12,6.25
1988-04-13,7.75
1988-04-14,3
1988-04-15,0.5
1988-04-16,3
1988-04-17,8
1988-04-18,-0.5
1988-04-19,0
1988-04-20,1.75
1988-04-21,2.25
1988-04-22,1.5
1988-04-23,4
1988-04-24,4.25
1988-04-25,4.25
1988-04-26,5
1988-04-27,4.5
1988-04-28,4.5
1988-04-29,7.25
1988-04-30,7.75
1988-05-01,8.5
1988-05-02,8.5
1988-05-03,10
1988-05-04,8.75
1988-05-05,10.5
1988-05-06,9.5
1988-05-07,9.5
1988-05-08,16.5
1988-05-09,16
1988-05-10,11
1988-05-11,6.75
1988-05-12,12.25
1988-05-13,7.25
1988-05-14,6.25
1988-05-15,13.75
1988-05-16,15.5
1988-05-17,10.5
1988-05-18,11.5
1988-05-19,13.5
1988-05-20,15.5
1988-05-21,15.75
1988-05-22,16
1988-05-23,15.5
1988-05-24,9
1988-05-25,7
1988-05-26,10.5
1988-05-27,20
1988-05-28,17.5
1988-05-29,19
1988-05-30,19.75
1988-05-31,19.25
1988-06-01,15.25
1988-06-02,8.5
1988-06-03,10.5
1988-06-04,10.25
1988-06-05,15
1988-06-06,16.25
1988-06-07,13.25
1988-06-08,8
1988-06-09,7
1988-06-10,9
1988-06-11,14.5
1988-06-12,19.75
1988-06-13,19.75
1988-06-14,25.5
1988-06-15,24
1988-06-16,12.75
1988-06-17,11
1988-06-18,14
1988-06-19,24.25
1988-06-20,24.25
1988-06-21,18.5
1988-06-22,21.5
1988-06-23,13.75
1988-06-24,15.25
1988-06-25,22
1988-06-26,15
1988-06-27,11.75
1988-06-28,13.5
1988-06-29,8.5
1988-06-30,12
1988-07-01,13.5
1988-07-02,13.75
1988-07-03,14.5
1988-07-04,17.5
1988-07-05,22
1988-07-06,23
1988-07-07,24.5
1988-07-08,24.25
1988-07-09,23.5
1988-07-10,23.75
1988-07-11,21.75
1988-07-12,19.5
1988-07-13,19
1988-07-14,22.75
1988-07-15,18.5
1988-07-16,23.5
1988-07-17,19.25
1988-07-18,21.5
1988-07-19,21.25
1988-07-20,17.75
1988-07-21,18.75
1988-07-22,21.25
1988-07-23,17.25
1988-07-24,20.5
1988-07-25,19
1988-07-26,20.5
1988-07-27,19.25
1988-07-28,21.75
1988-07-29,25
1988-07-30,22.25
1988-07-31,18.75
1988-08-01,21.25
1988-08-02,26
1988-08-03,27.75
1988-08-04,27.5
1988-08-05,26.25
1988-08-06,22.25
1988-08-07,20.75
1988-08-08,20.25
1988-08-09,24.5
1988-08-10,21
1988-08-11,22
1988-08-12,23.75
1988-08-13,26.25
1988-08-14,26.5
1988-08-15,21.25
1988-08-16,19.25
1988-08-17,21.25
1988-08-18,16.5
1988-08-19,13
1988-08-20,13.75
1988-08-21,14.5
1988-08-22,13.25
1988-08-23,14.75
1988-08-24,18.25
1988-08-25,16.5
1988-08-26,16.5
1988-08-27,15.5
1988-08-28,16.75
1988-08-29,14.5
1988-08-30,12.5
1988-08-31,13.5
1988-09-01,20
1988-09-02,21
1988-09-03,19
1988-09-04,16.5
1988-09-05,11
1988-09-06,9.5
1988-09-07,10.5
1988-09-08,15.75
1988-09-09,18
1988-09-10,13.75
1988-09-11,11.5
1988-09-12,16
1988-09-13,12
1988-09-14,12
1988-09-15,9.5
1988-09-16,12
1988-09-17,17.75
1988-09-18,21.5
1988-09-19,20
1988-09-20,14.5
1988-09-21,12.5
1988-09-22,14.75
1988-09-23,13
1988-09-24,10.25
1988-09-25,11
1988-09-26,11
1988-09-27,15.25
1988-09-28,9.25
1988-09-29,10.25
1988-09-30,15.75
1988-10-01,20.75
1988-10-02,12.75
1988-10-03,8
1988-10-04,5.75
1988-10-05,4
1988-10-06,5.5
1988-10-07,6
1988-10-08,5
1988-10-09,5
1988-10-10,7.75
1988-10-11,4.5
1988-10-12,2
1988-10-13,4
1988-10-14,7
1988-10-15,12
1988-10-16,14.25
1988-10-17,14.75
1988-10-18,7.5
1988-10-19,4.25
1988-10-20,2.5
1988-10-21,4.5
1988-10-22,6.25
1988-10-23,6
1988-10-24,4.75
1988-10-25,5
1988-10-26,2.75
1988-10-27,5.25
1988-10-28,3.25
1988-10-29,2
1988-10-30,0.25
1988-10-31,2
1988-11-01,4
1988-11-02,3
1988-11-03,3.5
1988-11-04,10.25
1988-11-05,12
1988-11-06,3
1988-11-07,2.75
1988-11-08,3
1988-11-09,6
1988-11-10,8.25
1988-11-11,1.5
1988-11-12,3.5
1988-11-13,5.5
1988-11-14,4
1988-11-15,4.25
1988-11-16,10.75
1988-11-17,2.25
1988-11-18,0.75
1988-11-19,-0.75
1988-11-20,4
1988-11-21,1.5
1988-11-22,1.5
1988-11-23,2.75
1988-11-24,3
1988-11-25,5.75
1988-11-26,6.75
1988-11-27,8.25
1988-11-28,1.5
1988-11-29,1.5
1988-11-30,1.5
1988-12-01,-1.5
1988-12-02,0.5
1988-12-03,2.5
1988-12-04,-1
1988-12-05,1
1988-12-06,5
1988-12-07,1.75
1988-12-08,-3
1988-12-09,-5.75
1988-12-10,-9.5
1988-12-11,-18.5
1988-12-12,-18
1988-12-13,-4.25
1988-12-14,-0.5
1988-12-15,-8.75
1988-12-16,-9.75
1988-12-17,-11
1988-12-18,-11.75
1988-12-19,-1
1988-12-20,6
1988-12-21,-1.75
1988-12-22,-3.75
1988-12-23,0.5
1988-12-24,1.25
1988-12-25,-3.75
1988-12-26,-4
1988-12-27,-1
1988-12-28,-3
1988-12-29,-6.25
1988-12-30,-4.5
1989-01-01,-7.25
1989-01-02,-7.5
1989-01-03,-1.75
1989-01-04,-8.75
1989-01-05,-16.25
1989-01-06,-10.25
1989-01-07,-4.75
1989-01-08,1.5
1989-01-09,-4
1989-01-10,-6.25
1989-01-11,-4.25
1989-01-12,-6
1989-01-13,-1
1989-01-14,-4
1989-01-15,-3.25
1989-01-16,-2.5
1989-01-17,-3.25
1989-01-18,-2.75
1989-01-19,-1.5
1989-01-20,1.25
1989-01-21,-8.5
1989-01-22,-12
1989-01-23,-2
1989-01-24,1
1989-01-25,-0.75
1989-01-26,-1
1989-01-27,-1.75
1989-01-28,-0.5
1989-01-29,1.75
1989-01-30,0
1989-01-31,2.25
1989-02-01,4
1989-02-02,-4.25
1989-02-03,-8.75
1989-02-04,-10.25
1989-02-05,-11
1989-02-06,-9.75
1989-02-07,-6.25
1989-02-08,-7.75
1989-02-09,-8.75
1989-02-10,-12.5
1989-02-11,-7.25
1989-02-12,-4.5
1989-02-13,-7.5
1989-02-14,-5.5
1989-02-15,-1
1989-02-16,-2
1989-02-17,-10.75
1989-02-18,-11.75
1989-02-19,-9.25
1989-02-20,-5.5
1989-02-21,-2.75
1989-02-22,-2.25
1989-02-23,-6.5
1989-02-24,-17.25
1989-02-25,-21.75
1989-02-26,-15.25
1989-02-27,-4.25
1989-02-28,-7.25
1989-03-01,-11.25
1989-03-02,-7.25
1989-03-03,-10.25
1989-03-04,-9
1989-03-05,-2.75
1989-03-06,-8.75
1989-03-07,-11
1989-03-08,-16.5
1989-03-09,-13.25
1989-03-10,-4.25
1989-03-11,-5
1989-03-12,3.75
1989-03-13,-9.25
1989-03-14,-6.75
1989-03-15,3.75
1989-03-16,-1.3
1989-03-17,-5.5
1989-03-18,-5.75
1989-03-19,-6
1989-03-20,-8.75
1989-03-21,-3.25
1989-03-22,-6.25
1989-03-23,-8.5
1989-03-24,-2.5
1989-03-25,0.5
1989-03-26,3.75
1989-03-27,4
1989-03-28,12.75
1989-03-29,15.25
1989-03-30,-1.25
1989-03-31,4.25
1989-04-01,1
1989-04-02,1.25
1989-04-03,3.5
1989-04-04,7.25
1989-04-05,8.25
1989-04-06,5.25
1989-04-07,2.75
1989-04-08,2
1989-04-09,0.25
1989-04-10,-2
1989-04-11,-3
1989-04-12,-1.5
1989-04-13,0
1989-04-14,1.75
1989-04-15,2.25
1989-04-16,4
1989-04-17,5.5
1989-04-18,6
1989-04-19,0.25
1989-04-20,1.5
1989-04-21,3.25
1989-04-22,3
1989-04-23,-0.5
1989-04-24,0.25
1989-04-25,2.5
1989-04-26,10.5
1989-04-27,11.5
1989-04-28,7.5
