Month,Precipitation
1887-01-01,197.6
1887-02-01,95.0
1887-03-01,37.1
1887-04-01,74.2
1887-05-01,65.3
1887-06-01,175.5
1887-07-01,114.6
1887-08-01,90.4
1887-09-01,26.7
1887-10-01,62.2
1887-11-01,58.9
1887-12-01,142.0
1888-01-01,129.0
1888-02-01,122.2
1888-03-01,108.2
1888-04-01,51.1
1888-05-01,69.6
1888-06-01,49.3
1888-07-01,87.9
1888-08-01,114.3
1888-09-01,138.2
1888-10-01,201.9
1888-11-01,170.2
1888-12-01,110.7
1889-01-01,87.4
1889-02-01,104.9
1889-03-01,103.1
1889-04-01,81.0
1889-05-01,55.9
1889-06-01,72.4
1889-07-01,93.7
1889-08-01,50.8
1889-09-01,64.0
1889-10-01,127.5
1889-11-01,116.8
1889-12-01,115.8
1890-01-01,95.5
1890-02-01,116.3
1890-03-01,148.6
1890-04-01,49.5
1890-05-01,157.2
1890-06-01,70.4
1890-07-01,50.0
1890-08-01,135.9
1890-09-01,123.4
1890-10-01,57.9
1890-11-01,72.1
1890-12-01,66.5
1891-01-01,139.7
1891-02-01,79.5
1891-03-01,69.9
1891-04-01,34.8
1891-05-01,41.7
1891-06-01,76.2
1891-07-01,66.3
1891-08-01,103.1
1891-09-01,67.3
1891-10-01,112.5
1891-11-01,58.7
1891-12-01,75.9
1892-01-01,146.3
1892-02-01,47.8
1892-03-01,91.4
1892-04-01,38.4
1892-05-01,55.1
1892-06-01,89.9
1892-07-01,30.7
1892-08-01,117.9
1892-09-01,30.7
1892-10-01,37.8
1892-11-01,80.5
1892-12-01,51.3
1893-01-01,52.8
1893-02-01,82.8
1893-03-01,34.3
1893-04-01,49.3
1893-05-01,48.5
1893-06-01,47.0
1893-07-01,66.3
1893-08-01,102.6
1893-09-01,49.0
1893-10-01,46.5
1893-11-01,25.1
1893-12-01,154.4
1894-01-01,50.8
1894-02-01,32.5
1894-03-01,30.2
1894-04-01,53.6
1894-05-01,42.9
1894-06-01,85.6
1894-07-01,30.7
1894-08-01,33.5
1894-09-01,37.1
1894-10-01,61.5
1894-11-01,66.5
1894-12-01,55.1
1895-01-01,68.6
1895-02-01,49.0
1895-03-01,73.7
1895-04-01,58.2
1895-05-01,32.8
1895-06-01,37.1
1895-07-01,80.5
1895-08-01,122.7
1895-09-01,50.8
1895-10-01,29.2
1895-11-01,162.8
1895-12-01,69.9
1896-01-01,21.3
1896-02-01,70.4
1896-03-01,69.1
1896-04-01,21.8
1896-05-01,25.4
1896-06-01,68.8
1896-07-01,107.7
1896-08-01,27.2
1896-09-01,93.2
1896-10-01,159.3
1896-11-01,93.7
1896-12-01,43.2
1897-01-01,79.8
1897-02-01,36.8
1897-03-01,102.4
1897-04-01,85.1
1897-05-01,200.2
1897-06-01,84.3
1897-07-01,70.6
1897-08-01,70.9
1897-09-01,46.2
1897-10-01,15.5
1897-11-01,147.1
1897-12-01,66.3
1898-01-01,137.4
1898-02-01,161.8
1898-03-01,67.3
1898-04-01,96.5
1898-05-01,54.4
1898-06-01,78.5
1898-07-01,16.8
1898-08-01,54.6
1898-09-01,74.4
1898-10-01,174.0
1898-11-01,155.4
1898-12-01,75.9
1899-01-01,98.0
1899-02-01,85.1
1899-03-01,139.2
1899-04-01,22.6
1899-05-01,99.6
1899-06-01,65.5
1899-07-01,121.4
1899-08-01,13.5
1899-09-01,51.6
1899-10-01,48.8
1899-11-01,93.5
1899-12-01,86.9
1900-01-01,133.9
1900-02-01,114.6
1900-03-01,126.2
1900-04-01,62.7
1900-05-01,131.6
1900-06-01,101.6
1900-07-01,34.8
1900-08-01,65.5
1900-09-01,38.6
1900-10-01,209.8
1900-11-01,111.8
1900-12-01,71.6
1901-01-01,121.9
1901-02-01,41.9
1901-03-01,124.0
1901-04-01,141.7
1901-05-01,83.6
1901-06-01,138.4
1901-07-01,23.1
1901-08-01,63.0
1901-09-01,74.2
1901-10-01,43.7
1901-11-01,48.5
1901-12-01,152.9
1902-01-01,86.6
1902-02-01,77.7
1902-03-01,231.4
1902-04-01,54.9
1902-05-01,97.8
1902-06-01,63.8
1902-07-01,26.7
1902-08-01,82.0
1902-09-01,61.7
1902-10-01,85.3
1902-11-01,37.3
1902-12-01,146.6
1903-01-01,97.8
1903-02-01,101.9
1903-03-01,126.5
1903-04-01,84.6
1903-05-01,64.0
1903-06-01,42.9
1903-07-01,97.8
1903-08-01,29.0
1903-09-01,41.1
1903-10-01,71.9
1903-11-01,91.2
1903-12-01,82.8
1904-01-01,77.2
1904-02-01,100.8
1904-03-01,125.7
1904-04-01,85.3
1904-05-01,56.6
