'Elapsed time','V5','V2'
210.008,4.82500000,3.37000000
210.024,4.83000000,4.66000000
210.040,4.80000000,5.52500000
210.056,4.83000000,5.84000000
210.072,4.84500000,6.00000000
210.088,4.85000000,6.14500000
210.104,4.84000000,6.28500000
210.120,4.84000000,6.47500000
210.136,4.83500000,6.66000000
210.152,4.85000000,6.84000000
210.168,4.90000000,6.93500000
210.184,4.97000000,6.92000000
210.200,5.00500000,6.81500000
210.216,5.04000000,6.57500000
210.232,5.05500000,6.22500000
210.248,5.06500000,5.88000000
210.264,5.04500000,5.57500000
210.280,5.02500000,5.36000000
210.296,4.99000000,5.22000000
210.312,4.97000000,5.15000000
210.328,4.96500000,5.12000000
210.344,4.95000000,5.11000000
210.360,4.94500000,5.11000000
210.376,4.94000000,5.11000000
210.392,4.94000000,5.11000000
210.408,4.93000000,5.11000000
210.424,4.92000000,5.10500000
210.440,4.90500000,5.07500000
210.456,4.91000000,5.06000000
210.472,4.91000000,5.02500000
210.488,4.90500000,5.00500000
210.504,4.91000000,4.99500000
210.520,4.90000000,4.98000000
210.536,4.90000000,4.96000000
210.552,4.90500000,4.95000000
210.568,4.90500000,4.94000000
210.584,4.90000000,4.93500000
210.600,4.89000000,4.92000000
210.616,4.91000000,4.91000000
210.632,4.91500000,4.90500000
210.648,4.91000000,4.91000000
210.664,4.93000000,4.92000000
210.680,5.01500000,5.83000000
210.696,5.88500000,5.20500000
210.712,5.35000000,4.61000000
210.728,5.35000000,3.54500000
210.744,5.32500000,2.60500000
210.760,5.13500000,2.09500000
210.776,4.78000000,1.99000000
210.792,4.78500000,2.01500000
210.808,4.82000000,2.49000000
210.824,4.92000000,3.72500000
210.840,4.86000000,4.89500000
210.856,4.88000000,5.62500000
210.872,4.89000000,5.85000000
210.888,4.90500000,6.00500000
210.904,4.89000000,6.14500000
210.920,4.89000000,6.27500000
210.936,4.89000000,6.42000000
210.952,4.89500000,6.58000000
210.968,4.91000000,6.72500000
210.984,4.93500000,6.84000000
211.000,4.96000000,6.87000000
211.016,5.01500000,6.78000000
211.032,5.06000000,6.54000000
211.048,5.09500000,6.23500000
211.064,5.11000000,5.90000000
211.080,5.09500000,5.59500000
211.096,5.09000000,5.36500000
211.112,5.08000000,5.20000000
211.128,5.05000000,5.09500000
211.144,5.00500000,5.10000000
211.160,4.97500000,5.08000000
211.176,4.94500000,5.08000000
211.192,4.95000000,5.08000000
211.208,4.95000000,5.09000000
211.224,4.94500000,5.09000000
211.240,4.93000000,5.07000000
211.256,4.92000000,5.05500000
211.272,4.92500000,5.02000000
211.288,4.91000000,5.00000000
211.304,4.92000000,4.99000000
211.320,4.91000000,4.96500000
211.336,4.88500000,4.96000000
211.352,4.92000000,4.96500000
211.368,4.91000000,4.95500000
211.384,4.90500000,4.95000000
211.400,4.90500000,4.94000000
211.416,4.92000000,4.93500000
211.432,4.93500000,4.93000000
211.448,4.94000000,4.92000000
211.464,4.94000000,4.91000000
211.480,4.96000000,4.93500000
211.496,5.09000000,5.88500000
211.512,5.54500000,5.22500000
211.528,5.43000000,4.59000000
211.544,5.39500000,3.09000000
211.560,5.44000000,2.40000000
211.576,5.25500000,2.06500000
211.592,4.85500000,2.00000000
211.608,4.87500000,2.05500000
211.624,4.78000000,2.61000000
211.640,4.82500000,3.83500000
211.656,4.81000000,4.99000000
211.672,4.86000000,5.67000000
211.688,4.82500000,5.90500000
211.704,4.87500000,6.07000000
211.720,4.87500000,6.21000000
211.736,4.86000000,6.37000000
211.752,4.84500000,6.56000000
211.768,4.86500000,6.73500000
211.784,4.89500000,6.88500000
211.800,4.93000000,6.97000000
211.816,4.99000000,6.95000000
211.832,5.02500000,6.75500000
211.848,5.03500000,6.46500000
211.864,5.09500000,6.11000000
211.880,5.14000000,5.80000000
211.896,5.06500000,5.56500000
211.912,5.05500000,5.36500000
211.928,5.04500000,5.21000000
211.944,5.02000000,5.10500000
211.960,4.99500000,5.09500000
211.976,4.98000000,5.08000000
211.992,4.97500000,5.07000000
212.008,4.94000000,5.08500000
212.024,4.95500000,5.09000000
212.040,4.94000000,5.09000000
212.056,4.92000000,5.07500000
212.072,4.94000000,5.06000000
212.088,4.91500000,5.05000000
212.104,4.91500000,5.02500000
212.120,4.90500000,5.00500000
212.136,4.90500000,4.99500000
212.152,4.90500000,4.97500000
212.168,4.92500000,4.97000000
212.184,4.91500000,4.97000000
212.200,4.91000000,4.95500000
212.216,4.90500000,4.94000000
212.232,4.90500000,4.94000000
212.248,4.91500000,4.93000000
212.264,4.92000000,4.94000000
212.280,4.93500000,4.94000000
212.296,4.98500000,5.30500000
212.312,5.88500000,5.38000000
212.328,5.37000000,5.09500000
212.344,5.43000000,3.95500000
212.360,5.39000000,2.76500000
212.376,5.29500000,2.24500000
212.392,4.95000000,2.06500000
212.408,4.68000000,2.04500000
212.424,4.68000000,2.23500000
212.440,4.74000000,3.05500000
212.456,4.79500000,4.30500000
212.472,4.76500000,5.28500000
212.488,4.80500000,5.76000000
212.504,4.82000000,5.95000000
212.520,4.81000000,6.08000000
212.536,4.80000000,6.21000000
212.552,4.78000000,6.36500000
212.568,4.78000000,6.53500000
212.584,4.78000000,6.69000000
212.600,4.79500000,6.83000000
212.616,4.83500000,6.94000000
212.632,4.90000000,6.89500000
212.648,4.95000000,6.70000000
212.664,5.00500000,6.38000000
212.680,5.03500000,6.05000000
212.696,5.02500000,5.75500000
212.712,5.01000000,5.54000000
212.728,4.98500000,5.39500000
212.744,4.98000000,5.26000000
212.760,4.98500000,5.17500000
212.776,4.96500000,5.11500000
212.792,4.94500000,5.12500000
212.808,4.91500000,5.12500000
212.824,4.91500000,5.13500000
212.840,4.90000000,5.13000000
212.856,4.88000000,5.15000000
212.872,4.89000000,5.12000000
212.888,4.88000000,5.12000000
212.904,4.86000000,5.10500000
212.920,4.84000000,5.09000000
212.936,4.84500000,5.06500000
212.952,4.84500000,5.04500000
212.968,4.83500000,5.04000000
212.984,4.84000000,5.02000000
213.000,4.84000000,5.02500000
213.016,4.83500000,5.01500000
213.032,4.82500000,5.00500000
213.048,4.84500000,5.00000000
213.064,4.83000000,4.98500000
213.080,4.83000000,4.98500000
213.096,4.83000000,4.97500000
